G,T_raw,V1,V2,V3,V4,V5,V6,V7,V8
1,28,5,1,1.38629436111989,1.79175946922805,4.91998092582813,1.00630843639374,0,-6.51337946442848
1,25,1,1,0,1.38629436111989,5.02388052084628,1.0132040977478,0.00984604840246945,-6.49900291348341
1,23,4,1,0,0,5.37989735354046,1.00289702415466,0.0219907382751568,-6.84560083357002
1,26,10,1,0,1.6094379124341,3.04452243772342,0.973240256309509,0.0250154687034349,-7.15959300912025
1,29,7,1,0,0.693147180559945,0,1.06901228427887,0,-6.30459471351768
1,27,5,1,1.94591014905531,2.19722457733622,5.96870755998537,0.985568702220917,0.00102390694212271,-6.49136744213355
1,30,2,1,0,0,5.19295685089021,1.26962041854858,0.00563308388860579,-6.14173807037646
1,26,8,1,1.79175946922805,1.6094379124341,5.41610040220442,1.00463807582855,0.0104299743401565,-6.75659687694501
1,27,7,1,0,0,0,1.00049579143524,0.00808071895508156,-6.48232869363662
1,47,2,1,0,1.79175946922805,6.26720054854136,1.0620950460434,0.0612721073718632,-6.79014431903246
1,40,6,1,0.693147180559945,0,2.56494935746154,0.983470439910889,0.00723215797185539,-6.91358972905005
1,45,7,1,0,0,4.71849887129509,1.01059603691101,0.0361066815979897,-6.54293658688236
1,28,4,1,0,2.19722457733622,7.58731050602262,1.16725420951843,0,-6.57862906712385
1,23,8,1,1.6094379124341,0,5.37063802812766,1.00452208518982,0.00756008652486907,-6.37532005116198
1,19,1,1,0,0,4.85981240436167,1.06658494472504,0,-6.39325797447408
1,15,1,1,0,2.39789527279837,6.77992190747225,1.09509444236755,0.00648762771517611,-6.8290145932848
1,15,1,1,0,0,5.23110861685459,0.992649078369141,0,-5.97480588423587
1,13,7,1,0,1.79175946922805,5.50533153593236,1.04528081417084,0.00501093508673333,-6.60990092791811
1,24,1,1,0,1.6094379124341,2.77258872223978,0.990410506725311,0.0154572151749462,-6.17231991199565
1,18,1,1,1.38629436111989,2.39789527279837,5.50125821054473,1.1239310503006,0,-6.65034842607966
1,23,10,1,0,1.38629436111989,1.38629436111989,1.02751934528351,0.0171054407590093,-6.2526947797818
1,25,4,1,1.09861228866811,0,5.46383180502561,1.18880391120911,0.00893767771547139,-6.42877705435195
1,23,3,1,0.693147180559945,0.693147180559945,0.693147180559945,1.10455167293549,0.00541268775630031,-6.0207864363762
1,34,1,1,1.09861228866811,0,4.35670882668959,1.00332283973694,0.00319909730512335,-6.578741832133
1,21,2,1,0,0,5.49306144334055,1.06613707542419,0.0180287793708675,-7.04971928430568
1,21,1,1,1.38629436111989,3.25809653802148,6.99484998583307,1.03768849372864,0.0102123097182869,-7.12266860114781
1,31,2,1,0.693147180559945,1.94591014905531,7.08673793451058,1.10933029651642,0.021597051890642,-6.60233079023559
1,24,3,1,0,1.94591014905531,0,1.15148842334747,0,-5.98271383821161
1,19,8,1,0.693147180559945,1.79175946922805,6.28226674689601,0.981097519397736,0.0116301102733659,-7.16765492329078
1,18,8,1,0,1.38629436111989,6.48157712927643,1.00448739528656,0,-6.98981192708211
1,23,9,1,0,1.79175946922805,6.28785856016178,1.02133798599243,0.00255318830747605,-6.48743080301733
1,26,8,1,0,2.19722457733622,6.36302810354046,1.16514647006989,0.00284381170272891,-6.38639197043998
1,32,2,1,0,1.6094379124341,1.79175946922805,1.41455161571503,0.00512706678277095,-5.9518196901837
1,28,5,1,0,2.07944154167984,0,1.12520515918732,0,-6.0929472482541
1,45,2,1,0,2.19722457733622,7.31055015853442,1.12429594993591,0.000404746707254702,-6.71089157782008
1,38,10,1,1.94591014905531,1.6094379124341,7.6182510978767,1.40605747699738,0.0418250817964173,-4.9033646146087
1,37,2,1,0,2.07944154167984,5.97126183979046,1.09755373001099,0.00700144595038995,-6.63364030231171
1,24,1,1,0,1.79175946922805,6.3750248198281,1.08800888061523,0.00220222763303433,-6.34608958293326
1,23,9,1,0,1.79175946922805,1.94591014905531,1.0222315788269,0.00262479517802772,-6.45917208041083
1,28,10,1,0.693147180559945,2.07944154167984,6.14418563412565,1.09311532974243,0.0251688125652021,-7.22870219223928
1,27,10,1,0,1.94591014905531,7.61233683716775,1.08213603496551,0.0206483100283429,-6.43314805796158
1,25,3,1,0,1.6094379124341,1.94591014905531,1.07688927650452,0.0122804977646601,-6.58760840526066
1,26,8,1,0,1.79175946922805,0.693147180559945,1.02048242092133,0.000894170075783599,-6.25674004007128
1,24,5,1,0,2.19722457733622,6.29710931993394,1.03540098667145,0.00309906966858735,-6.67755264456484
1,29,9,1,0,2.07944154167984,6.42486902390539,0.989435493946075,0.00748974481623011,-6.83890428286607
1,24,8,1,0,2.63905732961526,6.55961523749324,0.99880039691925,0.0127263485873473,-6.91118072896837
1,27,9,1,1.38629436111989,1.79175946922805,0,1.00858306884766,0,-6.76158777299605
1,21,5,1,0,1.94591014905531,7.54960916515453,1.00058245658874,0.00146576120836931,-7.0774827283024
1,23,3,1,0,1.79175946922805,7.24992553671799,1.21973252296448,0,-6.56035052451945
1,47,2,1,0,2.07944154167984,6.58063913728495,1.20923399925232,0,-6.44373910243462
1,25,2,1,0,1.6094379124341,7.52131798019924,1.11578667163849,0.00663750781564781,-6.31721991058678
1,32,2,1,0,1.94591014905531,0,1.31897747516632,0,-5.86430557062698
1,25,10,1,0,1.79175946922805,7.33367639565768,1.07116532325745,0.0118116353417106,-6.94612646662243
1,30,4,1,0,2.19722457733622,7.71912984090673,1.03529798984528,0.0055209139784513,-7.21589030882172
1,24,2,1,0,1.79175946922805,7.22620901010067,1.07653510570526,0.0204915361702747,-6.58696995433337
1,39,3,2,0,2.39789527279837,6.54391184556479,1.09683918952942,0.0259806172723708,-6.86106127821818
1,34,1,1,0.693147180559945,1.79175946922805,6.82219739062049,1.01369559764862,0.00233933243440047,-6.65675730531261
1,23,1,2,0,2.30258509299405,7.63240112660145,1.09437692165375,0.00601320084592545,-6.19193683726686
1,24,7,1,2.56494935746154,1.79175946922805,7.19893124068817,1.00309610366821,0.0122265256701011,-7.1530200698877
1,47,2,1,0,2.30258509299405,5.73334127689775,1.00281870365143,0.00619321384004352,-6.56375827003574
1,46,1,1,2.19722457733622,1.6094379124341,2.99573227355399,0.991355419158936,0.0159539480522993,-7.73406375532846
1,33,8,1,0.693147180559945,1.38629436111989,7.41095187558364,1.03883469104767,0.0237581481199308,-7.42369680652316
1,20,2,1,0,1.94591014905531,7.52131798019924,1.31935429573059,0.00839666387442997,-6.21641263636613
1,32,4,1,2.83321334405622,1.94591014905531,7.45414107814668,1.04227423667908,0.0426825011053082,-6.84959516327619
1,21,1,3,0,1.6094379124341,0,1.22196853160858,0.00102560944088733,-6.34554350422695
1,24,10,1,2.07944154167984,2.07944154167984,0,1.07762360572815,0.00383857720168258,-6.35011734884057
1,39,6,1,0,1.79175946922805,7.33367639565768,0.990934193134308,0.0045064155101337,-6.78093127230863
1,30,5,1,0,2.07944154167984,7.24992553671799,1.02688479423523,0,-6.93646318986216
1,15,6,1,0,2.07944154167984,7.8935720735049,1.08553862571716,0.000949500743372946,-6.17797212596017
1,17,2,4,0,1.6094379124341,7.84815308619953,1.04182314872742,0,-6.6210480570176
1,16,5,1,0,2.07944154167984,8.18283871076603,1.10662126541138,0.00288932836924016,-5.86689125886912
1,27,6,1,0,1.79175946922805,7.49220304261874,1.0511417388916,0.0221040016023071,-6.49755391109894
1,35,5,1,0,1.38629436111989,8.00235954625271,1.40361666679382,0,-5.83562868091376
1,17,9,1,0,3.13549421592915,7.67600993202889,1.00257551670075,0.00529009059940721,-6.89840408594153
1,27,1,1,0,1.79175946922805,7.91132401896335,1.10644996166229,0.00181011255008505,-6.82495136756008
1,29,2,1,0,2.99573227355399,8.02027047281924,1.00594711303711,0.00289100095519161,-7.76034733839362
1,21,4,1,0,1.94591014905531,7.49498623395053,1.12146890163422,0.00358861344195681,-6.19782008442213
1,18,10,1,0,2.484906649788,7.92768504561578,1.03336620330811,0.00761417054661132,-6.57584377301393
1,22,10,1,0.693147180559945,2.70805020110221,7.95647679803678,1.01231479644775,0,-6.06279880365061
1,30,10,1,0,2.19722457733622,7.92804560087478,0.998249530792236,0.00868779672326891,-6.96617779261577
1,21,9,1,3.25809653802148,1.79175946922805,7.9373746961633,1.16385960578919,0,-6.93459847582887
1,21,9,1,0,1.94591014905531,7.93701748951545,0.996241211891174,0.000872505098447499,-6.53297166693449
1,29,3,1,0,1.94591014905531,7.23345541862144,1.24879860877991,0.0122373290308965,-6.45857780252056
1,21,4,1,0,1.94591014905531,7.96831950001272,1.11817097663879,0,-5.49618499848169
1,19,6,1,0,2.07944154167984,7.92804560087478,1.10173642635346,0,-6.1685943411146
1,21,10,1,0,1.94591014905531,7.87625888230323,1.00006186962128,0.011205938276927,-6.74510708073274
1,21,5,1,0,4.63472898822964,7.87777633327726,1.1107748746872,0.00757914302610604,-6.80605283916194
1,22,4,1,0,1.94591014905531,7.89020821310996,1.10374963283539,0.00176413947279032,-6.33695549498185
1,27,10,1,0,2.94443897916644,7.89692465626886,1.16143548488617,0.00787957024389219,-6.22322136337646
1,18,7,1,0,1.94591014905531,7.89803969076462,1.06534600257873,0.00116326306035395,-6.2391663834165
1,27,9,1,0,1.6094379124341,7.84109976542212,1.08253860473633,0.00605776210195532,-6.36790338710836
1,24,2,1,0,2.30258509299405,7.8935720735049,1.36114597320557,0,-5.99162766555327
1,24,10,1,1.09861228866811,3.2188758248682,7.84424071814181,1.08870565891266,0.00176360826120329,-6.45937156783915
1,29,6,1,2.19722457733622,1.79175946922805,7.83597458172157,1.02664184570312,0.00568308711442098,-7.26790899656241
1,22,6,1,0,2.30258509299405,7.87777633327726,1.01433110237122,0.00429210559417035,-6.5773732773323
1,20,10,1,0,4.26267987704131,7.81802793853073,1.06065380573273,0.0100481018001261,-6.90536460446164
1,27,8,1,0.693147180559945,2.70805020110221,7.84109976542212,1.08866047859192,0.015519753379281,-6.53936835673238
1,31,2,1,0,1.94591014905531,7.79234892411304,1.1661661863327,0.00170656898564001,-5.88879640618614
1,23,8,1,0.693147180559945,1.79175946922805,7.72488843932307,1.05809915065765,0.0128821335600286,-6.62431311290126
1,30,4,1,0.693147180559945,2.07944154167984,7.72488843932307,1.12227559089661,0.00518783187291943,-6.91244808864333
1,23,10,1,0,1.6094379124341,7.6980291702728,1.04869389533997,0.00843838490453949,-6.63996416826797
1,31,9,1,0,2.19722457733622,7.73805229768932,1.09339654445648,0.00285947695025855,-6.30591310100584
1,32,6,1,0,2.484906649788,7.63385355968177,1.17817747592926,0.0111420713492284,-6.24775174276439
1,23,6,1,0,1.94591014905531,7.67600993202889,1.25076651573181,0,-5.95412673623237
1,29,13,1,0.693147180559945,1.6094379124341,0.693147180559945,1.09302496910095,0.00853542702262197,-6.39221194297603
1,28,10,1,0,1.79175946922805,7.77779262633883,1.15022301673889,0.0157193838332866,-5.97815268863318
1,22,10,1,0,1.38629436111989,8.02027047281924,1.08823275566101,0.00516038749660238,-6.44407756813986
1,31,6,1,0,1.94591014905531,7.11801620446533,0.993849396705627,0.0194478254485623,-7.50775231176258
1,30,7,1,0,1.38629436111989,7.81802793853073,1.2365710735321,0.0108911993691426,-6.34421084155402
1,40,6,4,0,2.19722457733622,6.99301512293296,1.20029640197754,0.00149045802816751,-7.37950702677312
1,24,8,1,0,2.70805020110221,7.76174498465891,1.03898930549622,0.00319137305162152,-6.19190367592713
1,43,1,1,1.38629436111989,1.09861228866811,6.38687931936265,1.05582308769226,0.0347344858772378,-7.35262298552253
1,22,7,1,0,2.30258509299405,7.20489251020467,1.01521170139313,0.00875742624082025,-6.90105887372323
1,29,8,1,1.38629436111989,1.94591014905531,6.89365635460264,1.01986718177795,0.00213786533207018,-6.96901872182047
1,36,10,1,2.70805020110221,2.484906649788,7.43661726523423,1.17572116851807,0.0322667571493018,-6.51674771040257
1,36,9,1,0,1.38629436111989,6.39859493453521,0.993196666240692,0.0076279084973571,-6.44028914664823
1,21,7,1,0,1.79175946922805,7.4489161025442,1.27802872657776,0,-6.7667509865391
1,41,1,1,0,1.79175946922805,6.24416690066374,1.07970452308655,0.0309696809144553,-6.90042671246109
1,24,6,1,0,2.484906649788,7.37588214821501,1.02546691894531,0.00229933176993078,-6.64247135060539
1,22,2,1,2.484906649788,2.07944154167984,7.28138566357028,1.08669567108154,0.00280951396754519,-6.5333981866245
1,17,2,1,2.484906649788,1.94591014905531,7.28138566357028,1.1392982006073,0,-6.4321498071955
1,31,8,1,0,1.79175946922805,8.24143968982973,1.39632546901703,0,-5.90292186021462
1,16,7,1,0,2.07944154167984,7.89692465626886,1.20908546447754,0.00199674887923508,-5.68973459849237
1,19,4,1,0,1.94591014905531,7.11801620446533,1.01789784431457,0.0137508738826835,-6.79592681088139
1,29,8,1,0,1.79175946922805,7.67600993202889,1.1637567281723,0,-5.90857733833891
1,23,2,1,1.38629436111989,1.79175946922805,7.8935720735049,1.25527119636536,0.0203082499659437,-6.14978858845594
1,25,4,1,2.77258872223978,1.79175946922805,7.8935720735049,1.32131552696228,0,-6.30802748205972
1,35,2,3,0,1.79175946922805,7.93701748951545,1.11309790611267,0,-6.39464648958934
1,26,4,1,0,1.6094379124341,7.87625888230323,1.16619193553925,0,-6.52823825863058
1,23,5,1,2.30258509299405,1.79175946922805,8.00202481821611,1.07883107662201,0,-6.78909886934056
1,26,3,1,1.09861228866811,2.19722457733622,7.75876054415766,1.27716732025147,0.0481765982838839,-6.66588548859721
1,25,6,1,0,1.94591014905531,7.79234892411304,1.11648654937744,0,-5.97790157416826
1,25,3,1,0,2.07944154167984,7.87777633327726,1.06505155563354,0.000591907359291363,-6.49978428176294
1,21,4,2,0,4.02535169073515,7.71556953452021,1.11543202400207,0.00451221767569861,-6.52829394302701
1,40,17,1,0,2.07944154167984,7.29437729928882,1.05107939243317,0.00186893284648567,-6.33837139654235
1,41,14,1,0,2.07944154167984,7.29437729928882,1.06596279144287,0.000248650672337077,-6.36709707816706
1,48,5,3,0,1.6094379124341,7.93951526066241,1.21085262298584,0,-5.88087351447623
1,41,1,3,0,1.94591014905531,7.93951526066241,1.27032876014709,0,-5.73633365375635
1,37,14,1,2.56494935746154,1.79175946922805,7.55433482372575,0.995962142944336,0.00170313674639747,-7.26820858582635
1,19,2,1,0,2.19722457733622,7.80751004221619,1.31988298892975,0.0108646159163362,-6.52804747894643
1,36,7,1,0,1.94591014905531,7.85709386490249,1.08617234230042,0.00322765757015938,-6.1011674460876
1,21,1,3,0,2.30258509299405,7.86480400332846,1.02286434173584,0.00869188797339209,-7.69621301815551
1,25,6,1,0,1.79175946922805,7.93951526066241,1.0603893995285,0.0378210242911168,-7.18313116052584
1,23,1,1,0,2.07944154167984,0,1.01778626441956,0.00785312982089487,-7.5374777516621
1,21,9,1,0,1.79175946922805,7.79234892411304,1.07020783424377,0,-6.16916568343126
1,25,6,1,0,1.94591014905531,7.79234892411304,1.08262610435486,0,-6.04532783651832
1,21,9,1,0,1.79175946922805,7.90875473878325,1.04911208152771,0.000965704321912615,-6.46003546402097
1,26,7,1,0,2.19722457733622,7.90875473878325,1.08520817756653,0.00377730779289709,-6.76039186313963
1,18,7,1,1.09861228866811,1.79175946922805,7.97039490719143,1.17903029918671,0,-6.68589215057726
1,22,1,1,0,1.94591014905531,0,1.20010495185852,0.000836537916723269,-6.68139159246506
1,21,9,1,0,1.94591014905531,7.91132401896335,1.08848142623901,0.00537533365114076,-6.17018338022065
1,27,4,1,0,1.94591014905531,7.58731050602262,1.31157124042511,0,-6.31456791023039
1,38,12,1,0,2.39789527279837,7.29437729928882,1.05421376228332,0.000689792993936382,-5.97205970463065
1,21,6,1,1.38629436111989,1.6094379124341,7.93701748951545,1.36732530593872,0.00544559559582402,-6.28436327421165
1,23,2,1,0,2.39789527279837,7.89692465626886,1.26228511333466,0.00861683336028248,-5.75578165819296
1,36,4,1,0,1.09861228866811,7.63240112660145,1.04068911075592,0,-7.59553441746173
1,48,23,1,0,1.94591014905531,7.29437729928882,1.00664174556732,0.000495311662755802,-6.29186711841368
1,22,6,1,0,2.07944154167984,8.06495089174914,1.03571474552154,0,-6.81110094962492
1,21,3,1,0,2.07944154167984,7.87625888230323,1.26886034011841,0,-6.11736027267833
1,14,3,1,0,2.07944154167984,8.03560269291858,1.16024017333984,0.0059662002919921,-6.3890669101094
1,25,10,1,0,2.07944154167984,7.92804560087478,1.02023732662201,0.0125406562836122,-6.23896474528185
1,18,6,1,0,2.07944154167984,7.97039490719143,1.15882420539856,0.00253864986471388,-6.37452435462851
1,23,4,1,0,1.6094379124341,7.90507284949867,1.05043125152588,0.000435194409609739,-6.34754400650139
1,16,10,1,0,1.79175946922805,8.06808962627824,1.04690289497376,0,-6.4187621385374
1,31,18,1,1.09861228866811,1.6094379124341,8.277411998949,1.14435124397278,0.00360211639719024,-7.06504556539361
1,25,10,1,0,2.19722457733622,8.41383067842108,1.10286259651184,0.00151809389250547,-6.01961363433428
1,21,7,2,0,1.6094379124341,8.45318786144033,1.01173567771912,0,-5.85631685796225
1,28,8,1,0,2.30258509299405,8.45318786144033,1.00159013271332,0.000395103096272677,-6.16713077625879
1,31,6,1,0,2.19722457733622,8.47990660663022,0.985128998756409,0.003571755115879,-6.15577757491974
1,24,9,1,0,1.94591014905531,8.24143968982973,1.04220724105835,0.0361108443101393,-7.72707214568501
1,21,3,1,2.07944154167984,2.99573227355399,8.36147461641682,1.03185772895813,0.00400798774304688,-7.11595476540441
1,23,2,1,0,1.79175946922805,8.40178233990491,1.31843602657318,0,-5.85748520978336
1,20,9,1,0.693147180559945,1.94591014905531,8.46716225781067,1.00116658210754,0,-6.30886452924398
1,21,7,1,0,1.94591014905531,8.47198659857816,1.05628311634064,0,-6.13235257370069
1,36,10,1,0,1.79175946922805,8.31115254800169,1.08673524856567,0.00996568682753431,-7.1088671131906
1,17,3,1,0,2.30258509299405,8.06022424044096,1.03576040267944,0.0129879413278215,-7.57201189690733
1,28,10,1,0,2.30258509299405,8.3999849905107,1.03013706207275,0.00252286439868757,-6.01582179168765
1,29,5,1,0,1.79175946922805,8.43728380818794,1.13301301002502,0.034610045216775,-7.2109988012936
1,30,9,1,1.6094379124341,2.07944154167984,8.32627478739676,1.12255549430847,0.00608498749412668,-6.22963753975669
1,11,10,1,0,1.94591014905531,8.40178233990491,1.02267098426819,0.00761705816946205,-6.92717940800702
1,32,6,1,0,2.07944154167984,8.47990660663022,0.980716586112976,0.00349611509408067,-6.09865558161867
1,33,10,1,0,2.94443897916644,8.18283871076603,1.19339299201965,0.000806776261455647,-6.62145001624604
1,7,1,1,0,1.94591014905531,8.16678428905615,1.10323750972748,0,-6.67426789679659
1,28,10,1,0,2.56494935746154,7.96831950001272,1.03049874305725,0.00972857677399617,-6.42138754597512
1,24,2,1,0,2.07944154167984,7.90507284949867,1.08046567440033,0.00515124743292258,-5.66666416984847
1,25,10,1,2.89037175789616,1.94591014905531,8.33254893925264,1.14440441131592,0.0116623296443968,-6.19005879979527
1,20,1,5,0,2.63905732961526,8.04302088529828,1.05492997169495,0.00392840450617946,-6.96019766505462
1,27,8,1,0,2.39789527279837,8.47616284185825,1.00568032264709,0,-6.74406394010397
1,15,6,1,0,2.07944154167984,7.97039490719143,1.14935529232025,0,-5.84423736070433
1,30,10,1,3.52636052461616,1.38629436111989,8.37999795223839,1.08837449550629,0.00395090599455199,-7.15747988056676
1,20,10,1,0,1.6094379124341,8.45765547870004,1.01832437515259,0.00037555794709875,-6.00543429210538
1,23,10,1,0,1.79175946922805,8.3240937614504,1.4194872379303,0.000503125792743701,-6.19172199444974
1,28,7,1,0,1.38629436111989,8.46337038471873,1.40146458148956,0,-6.03681454504555
1,15,2,1,0,1.94591014905531,8.02027047281924,1.30568313598633,0,-5.8272578835332
1,24,2,1,1.94591014905531,1.79175946922805,7.82204400818562,1.14726853370667,0,-6.51690428203814
1,37,15,1,0,1.79175946922805,8.02322468471667,1.29889214038849,0,-6.46347221576189
1,28,4,1,2.19722457733622,2.56494935746154,7.78239033558746,1.11070108413696,0.018910336090339,-6.99784121312623
1,43,10,1,0,2.07944154167984,8.52813313145457,1.22309267520904,0,-6.84523139586697
1,26,6,1,0,2.19722457733622,8.32989929299572,1.1401754617691,0.00122190498590082,-6.08971145473298
1,27,6,1,0,2.19722457733622,8.277411998949,1.15277516841888,0,-6.03944900915385
